What do you call a fake noodle?,An im-pasta.
How do you make an artichoke?,You strangle it.
Why did the tomato blush?,Because it saw the salad dressing.
Why do mushrooms get invited to all the parties?,"Because they’re such fungis! (Fun guys, get it?)"
What did one plate whisper to the other plate?,Dinner is on me.
Did you hear about the famous pickle?,He was a big dill!
Should you have your whole family for Thanksgiving dinner?,"No, you should just stick with turkey."
Why did the banana go to the hospital?,He was peeling really bad.
What do you call a nosy pepper?,Jalapeno business!
Why did the kid throw a stick of butter out the window?,To see butter-fly.
Why didn’t the teddy bear eat dessert?,He was stuffed.
What do you give a sick lemon?,A Lemon-aid.
Why do you smear peanut butter in the road?,To go with the traffic jam.
What do you call an attractive fruit?,A fine-apple.
What did the cupcake tell its frosting?,I’d be muffin without you.
What do you call cheese that’s not your cheese?,Nacho cheese.
Why can’t you trust atoms?,They make up everything.
What sits at the bottom of the sea and twitches?,A nervous wreck.
What do you call a dinosaur that crashes his car?,Tyrannosaurus Wrecks.
How do you stop an astronaut’s baby from crying?,You rocket!
What time is it when you have to go to the dentist?,Tooth hurty!
Which hand is better to write with?,"Neither, it’s better to write with a pen."
Why did the math book look so sad?,Because of all its problems.
What kind of tree fits in your hand?,A palm tree!
How many lips does a flower have?,Tu-lips.
What are the strongest days of the week?,Saturday and Sunday. All the others are weekdays.
Why did the bicycle fall over?,It was two tired.
Where did the computer go dancing?,The Disc-o.
What’s the most terrifying word in nuclear physics?,“Oops!”
Why should you stand in the corner if you get cold?,It’s always 90 degrees.
How did one tectonic plate apologize to the other?,“My fault.”
What do you call a person who never farts in public?,A private tutor.
Why is a baseball stadium always cold?,Because it’s full of fans!
How do you get a tissue to dance?,You put a boogie in it.
What has four wheels and flies?,A garbage truck.
What did the tired toilet say to the plunger?,I’m flushed.
Why was the sand wet?,Because the seaweed.
Why do people fall asleep in the bathroom?,Because it’s also called a restroom!
What kind of dogs come from the bathroom?,Poodles.
What did the poop say to the fart?,"Wow, you really blow me away!"
Why didn’t you hear the dinosaur going to the bathroom?,"With pterodactyls, the P is silent!"
Did you hear about the actor who fell through the floorboards?,He was just going through a stage.
Why was the picture sent to jail?,It was framed.
Why do we tell actors to break a leg?,Because every play has a cast.
What’s worse than raining cats & dogs?,Hailing taxis.
What kind of chocolate do you find in airports?,Plain
What do you call an international traveler that always stays in a corner?,A stamp.
Why was the librarian kicked off the plane?,Because it was overbooked.
Who did the zombie take to the dance?,His ghoul-friend
What do you call a rich elf?,Welfy.
What do ghosts like to drink the most?,Ghoul-ade!
What can you catch from a vampire in winter-time?,Frost-bite!
How can you tell you’re in a vampire bakery?,All the jelly has been sucked out of the donuts.
How do you talk to giants?,Use big words!
Why did Humpty Dumpty have a great fall?,To make up for his miserable summer.
Why was the skeleton afraid of the storm?,He didn’t have any guts.
How do you make holy water?,Boil the hell out of it.
What do elves do after school?,Their gnome work.
What do you call an old snowman?,Water.
Which superhero hits the most home runs?,Batman.
What happened when the butcher backed into his meat grinder?,He got a little behind in his work.
What do you call a guy with a rubber toe?,Roberto.
Why couldn’t Dracula’s wife fall asleep?,Because of his coffin!
What kind of music do mummies listen to?,Wrap music.
What does a vampire take for a sore throat?,Coffin drops.
What did batman say to Robin before they got in the car?,"“Robin, get in the car.”"
What street do ghosts haunt?,Dead ends.
What is a witch’s favorite lesson at school?,Spelling.
What washes up on really small beaches?,Micro-waves.
What do you call an Australian boomerang that won’t come back?,A stick.
What happened when the blue ship and the red ship collided at sea?,Their crews were marooned.
How does the ocean say hello?,It waves.
What do you call the wife of a hippie?,A Mississippi.
What has 5 eyes and is lying on the water?,The Mississippi River
What is the smartest state?,Alabama. It has four As and one B.
What state makes the most pencils?,Pennsylvania.
Why is it easy to remember the capitol of Alaska?,Juneau this one.
How do geographers figure out who to marry?,They datum.
Why did the map always lose at poker?,It always folded.
Which is smarter: longitude or latitude?,"Longitude, because it has 360 degrees?"
"What’s 90 degrees, but covered with ice?",The North and South Poles.
What rock group has four members but doesn’t make a sound?,Mt. Rushmore.
Who are the fastest people in the world?,Russians.
What did the ocean say to the beach?,Nothing — it just waved.
I met a cartographer who was also a spider.,He made web-based maps.
My friend is an expert reading maps.,He’s a legend.
What’s the best thing about Switzerland?,"I don’t know, but the flag is a big plus."
My friend has been scribbling something on his boat for hours.,I’m sure he’s plotting something.
Did you hear about the population of Ireland?,It’s Dublin.
How do you make an octopus laugh?,With ten-tickles.
What creature is smarter than a talking parrot?,A spelling bee.
What did the duck say after she bought the lipstick?,Put it on my bill.
What’s orange and sounds like a parrot?,A carrot.
What do you call a seagull when it flies over a bay?,A bagel.
What do you call a magic dog?,A Labracadabrador.
Why aren’t dogs good dancers?,They have two left feet?
How do you stop a bull from charging?,Cancel its credit card.
What do you call a pile of cats?,A meow-tain.
Why can’t you trust the king of the jungle?,Because he is always lion.
Have you heard of the pregnant bed bug?,She’s going to have her baby in the spring.
What do sharks say when something cool happens?,Jawesome!
What do you call a fish with no eye?,Fsh.
Why do birds fly to warmer climates in the winter?,It’s much easier than walking!
What do you call a fish with no eye?,Fssshh.
What do you call a fly without wings?,A walk.
What do you call an elephant that doesn’t matter?,An irrelephant.
Where do sharks go on vacation?,Fin-land.
What is a chicken’s least favorite day?,Fry-day.
Why do the French eat snails?,They don’t like fast food.
How do bees get to school?,By school buzz.
How do you get a squirrel to like you?,Act like a nut.
What did the dog say when he sat on sandpaper?,Ruff
What is worse than raining cats and dogs?,Hailing taxis!
Why does a seagull fly over the sea?,"Because if it flew over the bay, it would be a baygull."
What was the first animal in space?,The cow that jumped over the moon
Why did the dinosaur cross the road?,Because the chicken wasn’t born yet.
Why do bees have sticky hair?,Because they use a honeycomb.
What do you call an alligator with a vest?,An investigator.
What happened when the skunk was on trial?,"The judge declared, “Odor in the court, odor in the court!"
Why did the tomato blush?,Because it saw the salad dressing.
Did you hear about the first restaurant to open on the moon?,"It had great food, but no atmosphere."
What do you call a cheese that’s not yours?,Nacho cheese!
Did you hear about the cheese factory that exploded in France?,There was nothing left but de Brie.
What’s orange and sounds like a parrot?,A carrot.
What did Mr. and Mrs. Hamburger name their daughter?,Patty!
Where do beef burgers go dancing?,The meatball.
Why does Humpty Dumpty love autumn?,Because he always has a great fall.
Why did bread break up with margarine?,Because he found a butter lover.
Did you hear about the waffle iron with anger issues?,He just flipped.
Why should you never tell a taco a secret?,Because they tend to spill the beans.
Why do they serve yogurt at museums?,Because it’s cultured.
What do you call a group of berries playing instruments?,A jam session.
Why do comedians love eggs?,They’re easy to crack up.
How do you fix a broken gourd?,With a pumpkin patch.
Why are jalapeños such good marksmen?,Because they haben-arrow.
Why can you never gossip in a cornfield?,Too many ears.
What is a flea’s favorite way to travel?,Itch hiking.
Which bird has the worst manners?,Mocking birds.
What do you get from a pampered cow?,Spoiled milk.
I can’t take my dog to the park because the ducks keep trying to bite him.,I guess that’s what I get for buying a pure bread dog.
How many tickles does it take to get an octopus to laugh?,Ten tickles.
"Two goldfish are in a tank. One looks at the other and says, “You know how to drive this thing?",""
Why aren’t koalas actual bears?,The don’t meet the koalafications.
Why are fish so smart?,Because they live in schools!
What do you call a bear with no ears?,A “B”!
Why are teddy bears never hungry?,Because they’re always stuffed.
What language do pigs speak?,Pig Latin.
What mouse walks on two feet?,Mickey Mouse.
What duck walks on two feet?,All ducks.
Where do cows go on Friday nights?,They go to the moo-vies!
Why don’t ants ever get sick?,Because they have little anty bodies.
What happens to a frog’s car when it breaks down?,It gets toad away.
Where do polar bears keep their money?,A snowbank.
What did the fisherman say to the magician?,"“Pick a cod, any cod.”"
What do you call a pile of kittens?,A meowntain.
What did the beaver say to the tree?,“It’s been nice gnawing you.”
What do you call two monkeys that share an Amazon account?,Prime mates.
What do dentists call X-rays?,Tooth pics.
What time do you go to the dentist?,At tooth-hurty.
What did the left eye say to the right eye?,"“Between you and me, something smells.”"
"If you ever get cold, stand in the corner of a room for a while.",They’re usually 90 degrees.
Why is no one friends with Dracula?,Because he’s a pain in the neck.
Why did the A go to the bathroom and come out as an E?,Because he had a vowel movement.
I couldn’t figure out why the baseball kept getting bigger.,Then it hit me.
Is this pool safe for diving?,It deep ends.
What did the nose say to the finger?,“Quit picking on me!”
Anyone know any jokes about sodium?,Na.
Why can you never trust an atom’s story?,Because it makes up everything.
Where does bad light end up?,In prism.
How much does a neutron pay for electricity?,No charge.
Why are electrons never invited to parties?,They’re so negative.
Where do sick fish go?,To the dock.
What did one wall say to the other wall?,“I’ll meet you at the corner.”
When does a joke become a dad joke?,When the punchline is apparent.
What did the paper say to the pencil?,“Write on!”
How did the bullet lose its job?,It got fired.
Why should you never trust stairs?,They are always up to something.
Sometimes I tuck my knees into my chest and lean forward.,That’s just how I roll.
Why did the kid throw his watch out the window?,Because he wanted to see time fly.
What did the big flower say to the little flower?,"“Hi, bud!”"
How does NASA organize a party?,They planet.
What’s the difference between a poorly dressed man on a unicycle and a well-dressed man on a bicycle?,Attire.
Why were they called the Dark Ages?,Because there were lots of knights.
What did one toilet say to the other?,“You look flushed.”
My teachers told me I’d never amount to much because I procrastinate so much.,"I told them, “Just you wait!”"
What gets wetter the more it dries?,A towel.
Never criticize someone until you have walked a mile in their shoes.," That way, when you criticize them, you’ll be a mile away, and you’ll have their shoes."
Why did the picture go to prison?,Because it was framed!
What’s the best thing about Switzerland?,"I don’t k now, but the flag is a big plus."
Want to hear a roof joke?,The first one’s on the house.
Want to hear another roof joke?,It’s probably over your head.
What building in New York has the most stories?,The public library!
Why can’t Elsa have a balloon?,Because she will let it go.
How do you look for Will Smith in the snow?,Just follow the fresh prints.
Which rock group has four guys who can’t sing or play instruments?,Mount Rushmore.
Why do Dasher and Dancer love coffee?,Because they’re Santa’s star bucks!
What do you call a droid that takes the long way around?,R2 detour.
Why did the man fall into the cistern?,He couldn’t see that well.
Can February march?,"No, but April may."
Why was six afraid of seven?,Because seven eight nine.
What do you call a pencil with erasers on both ends?,Pointless.
What’s brown and sticky?,A stick.
"I hated beards, but they’re growing on me.",""
What is red and smells like blue paint?,Red paint.
How did the hipster burn his mouth?,He ate the pizza before it was cool.
Where does the General keep his armies?,In his sleeves!
What’s a foot long and slippery?,A slipper.
What is the resemblance between a green apple and a red apple?,They’re both red except for the green one
My love for you is like diarrhea.,I can’t hold it in.
Why did the chicken cross the road?,The chicken next to him farted.
What do flies politely say to the other?,“Is this stool taken?”
When does Denzel Washington usually need to hang out with the Rugrats?,On potty training day.
What are kings’ farts called?,A noble gas.
Politicians are like diapers.,"They need to be changed often, and for the same reasons."
What do a clown’s farts smell like?,They smell funny.
What did the poop say to the fart?,“You blow me away.”
What did the prune say to his employees?,“Let’s make this sh*t happen.”
Why do doctors say four out of five people suffer from diarrhea?,Because one guy likes it.
What’s the best snack for watching a movie that stinks?,Poop-corn!
Why did the prankster put poo in the elevator?,Because he wanted to take his pranks to the next level.
What’s the similarity between poop and talent?,Both will come out when it’s time for them to come out.
Children are like farts.,"Your own are just about bearable, but everyone else’s are horrendous."
What type of poop jokes should you never crack?,The corny ones.
What is a vegetarian suffering from diarrhea called?,A salad shooter.
What’s the German word for constipation?,Farfrompoopen.
Ready for a poop joke?,"Nope, they stink."
Poop jokes aren’t my favorite jokes.,But they’re a solid number two.
I actually like poop jokes.,I think they’re the sh*t.
What do you call a magical poop?,Poodini.
Poop jokes?,I just hate when they’re too corny or run on.
I ate four cans of alphabet soup yesterday.,Then I had probably the biggest vowel movement ever.
Did you hear about the constipated accountant?,He just couldn’t budget.
They said pooping is a call of nature.,So is farting a missed call?
Did you hear about the constipated movie?,It never came out.
"Did you hear about the sequel, Diarrhea?","It leaked, so they had to release it early."
Which poop movie in a trilogy is the worst of all?,The turd one.
Did you hear about the constipated composer?,He had problems with his last movement.
Today I learned that diarrhea is hereditary.,It runs in your jeans.
What did the puma say to his friend who was making poop jokes?,“Stop making me laugh or I’ll puma pants!”
What do you get when you accidentally take a poop in your overalls?,Dung-arees.
What’s something great about poop jokes?,They’ll make your cheeks hurt.
Why did the baker’s hands stink?,He kneaded a poo.
Did you hear about the constipated mathematician?,He worked it out with a pencil.
I like toilets for two reasons.,Number one and number two.
What did one toilet bowl say to another toilet bowl?,“You’re looking flushed.”
Why did the soldier refuse to flush the toilet?,It wasn’t his doodie.
What is something you never appreciate until it’s gone?,Toilet paper.
Why did the toilet paper roll down the hill?,To get to the bottom.
Why did the toilet seat cry?,She got dumped.
Why did one woman bring toilet paper to the birthday party?,She was a party pooper.
"When a janitor is fired for refusing to unclog the toilets, what is it called?",Dereliction of doodie.
What do women and toilet paper have in common?,They both deal with a lot of crap.
Why are there no bathrooms in some banks?,Because not all banks accept deposits.
"Poop jokes don’t always get the potty started, but they sure do finish it.",""
How can you unlock a toilet when you are in a hurry?,With a doo-key.
Where do cavemen poop?,In a Neander-stall.
What is a bathroom fairy called?,Stinkerbell.
Why did the toilet paper fail to cross the road?,Because it was stuck in a crack.
What did the conditioner bottle do to the toilet seat?,He shampooed it.
Why did Tigger stick his head in the toilet?,He was looking for Pooh!
When should you make vegetable soup in the toilet?,When it has a leek in it!
Where do sheep like to play?,In the baaa-throom.
What do octopuses do after using the toilet?,"They wash their hands, hands, hands, hands, hands, hands, hands, hands."
How many people does it take to make the bathroom smell?,Just a phew.
Why were there candles on a toilet seat?,Because there was a surprise birthday potty.
Why couldn't the police officers find the toilet thief?,Because they had nothing to go on.
Why does Spider-Man make sure to always flush the toilet?,Because it's his doody.
Why do people fall asleep in the bathroom?,Because it's also called a restroom.
"If you're an American in the sitting room, what are you in the bathroom?",Euro-pee-an.
What do you do if you find a bear using the toilet in your bathroom?,You let it finish!
Where does the volcano relieve itself?,In the lava-tory.
Where can Woody and Buzz go number 2?,In the toy-let.
Why did the jaguar eat the tightrope walker?,It was craving a well-balanced meal.
What is a knight’s favorite fish?,Swordfish.
What do you call a sleeping bull?,A bulldozer.
Why do seagulls fly over the sea?,"If they flew over the bay, they would be bagels."
Why wouldn’t the shrimp share his treasure?,He’s a little shellfish.
What do you call a fish without eyes?,A fsh.
What do you call a pig that does karate?,A pork chop.
What do you call an alligator in a vest?,An in-vest-igator.
What do you get when you cross a lemon and a cat?,A sour puss.
What did the snail say when it was riding on the turtle’s back?,“Wheeee!”
Why don’t big cats play poker in the safari?,Too many cheetahs.
Why do you never see elephants hiding in trees?,Because they are really good at it.
Why couldn’t the pony sing himself a lullaby?,He was a little hoarse.
What do you call a duck that gets all A’s?,A wise quacker.
How do you catch a whole school of fish?,With bookworms.
What did the horse say after it tripped?,“Help! I’ve fallen and I can’t giddyup!”
How do you keep a bull from charging?,Take away its credit card.
What do you call an illegally parked frog?,Toad.
How did the black cats end their fight?,They hissed and made up.
Why can’t you play hockey with pigs?,They always hog the puck.
What do you call a snake wearing a hard hat?,A boa constructor.
What did one horse say to the other at the dance?,“You mustang-o with me.”
What did the buffalo say to his son when he dropped him off at school?,“Bison.”
Why can’t you hear a pterodactyl going to the bathroom?,Because the “P” is silent.
Why are frogs happy?,They eat whatever bugs them!
What do you get when you cross a centipede with a parrot?,A walkie talkie.
What kind of footwear do frogs prefer?,Open-toed.
What chain can you eat?,A food chain.
What do you call a shoe made of banana peels?,Slippers.
Why do melons have weddings?,Because they cantaloupe.
Why did the baby strawberry cry?,His parents were in a jam.
Why did the teddy bear say no to dessert?,“Because she was stuffed.”
Bacon and eggs walk into a bar.,"The bartender said, “Sorry, we don’t serve breakfast.”"
"After dinner, my wife asked if I could clear the table.","I needed a running start, but I made it!"
I went to the zoo and saw a baguette in a cage,The zookeeper said it was bread in captivity!
How do you make a lemon drop?,Just let it fall.
Why did the man get fired from the orange juice factory?,Lack of concentration.
What’s orange and sounds like a parrot?,A carrot.
How many apples grow on trees?,All of them!
Why did the cookie cry?,Because his father was a wafer so long!
"Cashier: “Would you like the milk in a bag, sir? / Shopper: “No, just leave it in the carton!”"
"What is brown, hairy, and wears sunglasses?",A coconut on vacation.
A sandwich walks into a bar.,"The barman says, “Sorry, we don’t serve food here.”"
What does a nosey pepper do?,It gets jalapeno business.
Why do bananas have to put on sunscreen before they go to the beach?,Because they might peel!
What did Obi-Wan say to Luke when he was having trouble using chopsticks?,"“Use the fork, Luke.”"
When should you go at red and stop at green?,When eating a watermelon.
How do you make an egg laugh?,Crack it up.
What do you call a toothless bear?,A gummy bear.
What do you call counterfeit spaghetti?,Impasta.
How do you turn soup into jewelry?,Add 24 carrots.
What do skateboards and magicians have in common?,They both do tricks.
Why did the man get hit by a bike every day?,He was stuck in a vicious cycle.
"If athletes get athlete’s foot, what do elves get?",Mistletoes.
